Time,BicepsBrachiiR
20.80817,4.87E-05
20.80869,3.46E-05
20.80921,2.58E-05
20.80973,2.10E-05
20.81025,1.91E-05
20.81077,2.06E-05
20.81129,2.50E-05
20.81181,2.94E-05
20.81233,3.21E-05
20.81285,3.26E-05
20.81337,3.34E-05
20.81388,3.63E-05
20.8144,3.84E-05
20.81492,3.88E-05
20.81544,3.74E-05
20.81596,3.26E-05
20.81648,2.40E-05
20.817,1.38E-05
20.81752,3.69E-06
20.81804,-5.04E-06
20.81856,-1.38E-05
20.81908,-2.43E-05
20.8196,-3.51E-05
20.82012,-4.65E-05
20.82063,-5.82E-05
20.82115,-6.76E-05
20.82167,-7.05E-05
20.82219,-6.19E-05
20.82271,-4.06E-05
20.82323,-1.49E-05
20.82375,7.55E-06
20.82427,1.95E-05
20.82479,1.85E-05
20.82531,9.06E-06
20.82583,-3.69E-06
20.82635,-1.76E-05
20.82687,-2.94E-05
20.82738,-3.74E-05
20.8279,-4.18E-05
20.82842,-4.35E-05
20.82894,-4.52E-05
20.82946,-4.53E-05
20.82998,-4.10E-05
20.8305,-3.37E-05
20.83102,-3.26E-05
20.83154,-4.20E-05
20.83206,-5.32E-05
20.83258,-5.67E-05
20.8331,-4.99E-05
20.83362,-3.81E-05
20.83414,-2.82E-05
20.83465,-2.17E-05
20.83517,-1.73E-05
20.83569,-1.24E-05
20.83621,-1.01E-06
20.83673,1.59E-05
20.83725,3.58E-05
20.83777,5.35E-05
20.83829,6.43E-05
20.83881,5.94E-05
20.83933,3.88E-05
20.83985,1.29E-05
20.84037,-7.55E-06
20.84089,-1.88E-05
20.8414,-2.43E-05
20.84192,-2.70E-05
20.84244,-2.99E-05
20.84296,-3.37E-05
20.84348,-3.47E-05
20.844,-3.21E-05
20.84452,-2.84E-05
20.84504,-2.43E-05
20.84556,-2.00E-05
20.84608,-1.63E-05
20.8466,-1.36E-05
20.84712,-1.12E-05
20.84764,-7.72E-06
20.84815,-2.01E-06
20.84867,6.21E-06
20.84919,1.66E-05
20.84971,2.55E-05
20.85023,2.75E-05
20.85075,2.43E-05
20.85127,2.43E-05
20.85179,3.36E-05
20.85231,4.88E-05
20.85283,6.23E-05
20.85335,6.93E-05
20.85387,7.13E-05
20.85439,7.22E-05
20.8549,7.03E-05
20.85542,6.34E-05
20.85594,5.86E-05
20.85646,6.85E-05
20.85698,9.32E-05
20.8575,0.000119677
20.85802,0.000140154
20.85854,0.000151568
20.85906,0.000150225
20.85958,0.000134447
20.8601,0.000109606
20.86061,8.48E-05
20.86114,7.10E-05
20.86165,7.08E-05
20.86217,7.34E-05
20.86269,7.30E-05
20.86321,7.02E-05
20.86373,6.46E-05
20.86425,5.91E-05
20.86477,5.56E-05
20.86529,5.30E-05
20.86581,5.00E-05
20.86633,4.62E-05
20.86685,4.28E-05
20.86736,4.05E-05
20.86789,3.91E-05
20.8684,3.74E-05
20.86892,3.61E-05
20.86944,3.51E-05
20.86996,3.29E-05
20.87048,2.97E-05
20.871,2.70E-05
20.87152,2.52E-05
20.87204,2.47E-05
20.87256,2.60E-05
20.87308,2.74E-05
20.8736,2.70E-05
20.87411,2.47E-05
20.87464,2.27E-05
20.87515,2.13E-05
20.87567,2.06E-05
20.87619,2.20E-05
20.87671,2.43E-05
20.87723,2.40E-05
20.87775,2.13E-05
20.87827,1.83E-05
20.87879,1.53E-05
20.87931,1.23E-05
20.87983,8.90E-06
20.88035,5.37E-06
20.88087,2.52E-06
20.88139,-3.36E-07
20.8819,-1.51E-06
20.88242,1.51E-06
20.88294,6.71E-06
20.88346,9.06E-06
20.88398,8.39E-06
20.8845,8.22E-06
20.88502,1.02E-05
20.88554,1.39E-05
20.88606,1.81E-05
20.88658,2.15E-05
20.8871,2.48E-05
20.88762,2.74E-05
20.88813,2.97E-05
20.88865,3.39E-05
20.88917,3.81E-05
20.88969,4.01E-05
20.89021,4.01E-05
20.89073,3.91E-05
20.89125,3.83E-05
20.89177,3.66E-05
20.89229,3.31E-05
20.89281,2.60E-05
20.89333,1.78E-05
20.89385,1.31E-05
20.89437,1.53E-05
20.89488,2.30E-05
20.8954,3.00E-05
20.89592,3.37E-05
20.89644,3.34E-05
20.89696,2.95E-05
20.89748,2.47E-05
20.898,2.08E-05
20.89852,1.81E-05
20.89904,1.66E-05
20.89956,1.58E-05
20.90008,1.49E-05
20.9006,1.56E-05
20.90112,1.56E-05
20.90163,1.56E-05
20.90215,1.66E-05
20.90267,1.78E-05
20.90319,1.71E-05
20.90371,1.73E-05
20.90423,1.95E-05
20.90475,2.37E-05
20.90527,2.90E-05
20.90579,3.24E-05
20.90631,3.41E-05
20.90683,3.58E-05
20.90735,3.73E-05
20.90787,4.01E-05
20.90838,4.36E-05
20.90891,4.52E-05
20.90942,4.41E-05
20.90994,4.36E-05
20.91046,4.35E-05
20.91098,4.41E-05
20.9115,4.52E-05
20.91202,4.41E-05
20.91254,4.38E-05
20.91306,4.46E-05
20.91358,4.45E-05
20.9141,4.35E-05
20.91462,4.21E-05
20.91513,4.15E-05
20.91565,4.06E-05
20.91617,4.08E-05
20.91669,4.25E-05
20.91721,4.52E-05
20.91773,4.82E-05
20.91825,4.88E-05
20.91877,4.60E-05
20.91929,3.84E-05
20.91981,2.89E-05
20.92033,2.32E-05
20.92085,2.20E-05
20.92137,2.25E-05
20.92188,2.11E-05
20.9224,1.85E-05
20.92292,1.63E-05
20.92344,1.56E-05
20.92396,1.54E-05
20.92448,1.54E-05
20.925,1.39E-05
20.92552,1.06E-05
20.92604,6.55E-06
20.92656,3.19E-06
20.92708,5.04E-07
20.9276,-1.85E-06
20.92812,-4.87E-06
20.92863,-6.38E-06
20.92915,-7.72E-06
20.92967,-8.90E-06
20.93019,-8.56E-06
20.93071,-7.39E-06
20.93123,-6.21E-06
20.93175,-4.70E-06
20.93227,-1.01E-06
20.93279,2.52E-06
20.93331,3.19E-06
20.93383,2.52E-06
20.93435,2.35E-06
20.93487,4.36E-06
20.93538,8.73E-06
20.9359,1.06E-05
20.93642,8.56E-06
20.93694,2.35E-06
20.93746,-5.71E-06
20.93798,-1.33E-05
20.9385,-1.96E-05
20.93902,-2.40E-05
20.93954,-2.48E-05
20.94006,-1.96E-05
20.94058,-7.72E-06
20.9411,7.39E-06
20.94162,2.03E-05
20.94213,3.12E-05
20.94265,3.83E-05
20.94317,4.11E-05
20.94369,4.26E-05
20.94421,4.48E-05
20.94473,4.55E-05
20.94525,4.53E-05
20.94577,4.48E-05
20.94629,4.26E-05
20.94681,3.93E-05
20.94733,3.78E-05
20.94785,3.78E-05
20.94837,3.61E-05
20.94888,3.21E-05
20.9494,2.65E-05
20.94992,2.11E-05
20.95044,1.73E-05
20.95096,1.39E-05
20.95148,1.24E-05
20.952,1.36E-05
20.95252,1.39E-05
20.95304,1.46E-05
20.95356,1.63E-05
20.95408,1.80E-05
20.9546,1.85E-05
20.95512,1.56E-05
20.95564,1.29E-05
20.95615,1.14E-05
20.95667,9.40E-06
20.95719,7.55E-06
20.95771,8.56E-06
20.95823,9.57E-06
20.95875,7.55E-06
20.95927,5.87E-06
20.95979,7.89E-06
20.96031,1.21E-05
20.96083,1.49E-05
20.96135,1.28E-05
20.96187,7.05E-06
20.96239,5.20E-06
20.9629,8.22E-06
20.96342,1.43E-05
20.96394,2.13E-05
